syllable_structure,source_bucket_code,source_family_code,design_statuses,action,target_family_code,target_bucket_code,n_syllables,n_source_recordings
double,double_group_01,double_group_01,retained,retain_code,double_group_01,double_group_01,314,86
double,double_group_01_v1,double_group_01,retained,retain_code,double_group_01,double_group_01_v1,28,21
double,double_group_02,double_group_02,retained,retain_code,double_group_02,double_group_02,153,58
double,double_group_02_v1,double_group_02,retained,retain_code,double_group_02,double_group_02_v1,19,11
double,double_group_03,double_group_03,retained,family_renumber,double_group_04,double_group_04,69,25
double,double_group_04,double_group_04,retained,family_renumber,double_group_06,double_group_06,23,8
double,double_group_05,double_group_05,retained,family_renumber,double_group_03,double_group_03,69,35
double,double_group_05_v1,double_group_05,retained,family_renumber,double_group_03,double_group_03_v1,19,13
single,single_group_01,single_group_01,retained,family_renumber,single_group_14,single_group_14,31,5
single,single_group_02,single_group_02,retained,family_renumber,single_group_01,single_group_01,313,84
single,single_group_02_v1,single_group_02,retained,family_renumber,single_group_01,single_group_01_v1,95,39
single,single_group_03,single_group_03,retained,family_renumber,single_group_09,single_group_09,32,17
single,single_group_04,single_group_04,retained,family_renumber,single_group_07,single_group_07,31,16
single,single_group_05,single_group_05,merged_into_single_group_02,merge_into_main_bucket,single_group_01,single_group_01,62,15
single,single_group_06,single_group_06,retained,retain_code,single_group_06,single_group_06,29,11
single,single_group_07,single_group_07,retained,family_renumber,single_group_13,single_group_13,8,2
single,single_group_08,single_group_08,retained,family_renumber,single_group_03,single_group_03,125,42
single,single_group_08_v1,single_group_08,deleted,delete_whole_bucket,,,4,1
single,single_group_09,single_group_09,retained,family_renumber,single_group_10,single_group_10,59,20
single,single_group_10,single_group_10,retained,family_renumber,single_group_11,single_group_11,55,16
single,single_group_11,single_group_11,retained,family_renumber,single_group_04,single_group_04,83,41
single,single_group_11_v1,single_group_11,retained,family_renumber,single_group_04,single_group_04_v1,21,10
single,single_group_12,single_group_12,retained,family_renumber,single_group_02,single_group_02,40,23
single,single_group_12_v1,single_group_12,retained,family_renumber,single_group_02,single_group_02_v1,13,5
single,single_group_13,single_group_13,retained,family_renumber,single_group_05,single_group_05,66,33
single,single_group_13_v1,single_group_13,retained,family_renumber,single_group_05,single_group_05_v1,17,9
single,single_group_14,single_group_14,retained,family_renumber,single_group_12,single_group_12,15,4
single,single_group_14_v1,single_group_14,retained,family_renumber,single_group_12,single_group_12_v1,17,8
single,single_group_15,single_group_15,retained,family_renumber,single_group_08,single_group_08,18,8
single,single_group_15_v1,single_group_15,retained,family_renumber,single_group_08,single_group_08_v1,23,12
triple,triple_group_01,triple_group_01,retained,retain_code,triple_group_01,triple_group_01,239,78
triple,triple_group_01_v1,triple_group_01,retained,retain_code,triple_group_01,triple_group_01_v1,130,49
triple,triple_group_02,triple_group_02,retained,structure_reclassification,double_group_05,double_group_05,74,36
triple,triple_group_03,triple_group_03,retained,family_renumber,triple_group_05,triple_group_05,66,16
triple,triple_group_03_v1,triple_group_03,retained,family_renumber,triple_group_05,triple_group_05_v1,12,5
triple,triple_group_04,triple_group_04,retained,family_renumber,triple_group_02,triple_group_02,77,27
triple,triple_group_05,triple_group_05,retained,family_renumber,triple_group_03,triple_group_03,35,15
triple,triple_group_05_v1,triple_group_05,retained,family_renumber,triple_group_03,triple_group_03_v1,7,5
triple,triple_group_06,triple_group_06,retained,family_renumber,triple_group_06,triple_group_06,39,16
triple,triple_group_07,triple_group_07,retained,family_renumber,triple_group_07,triple_group_07,3,2
triple,triple_group_07_v1,triple_group_07,retained,family_renumber,triple_group_07,triple_group_07_v1,7,2
triple,triple_group_08,triple_group_08,retained,family_renumber,triple_group_04,triple_group_04,12,9
triple,triple_group_08_v1,triple_group_08,retained,family_renumber,triple_group_04,triple_group_04_v1,8,6
