source_row,selection_id,View,Channel,begin_time,end_time,low_freq,high_freq,stable_id,source_stem,audio_duration_s,syllable_duration_s,frequency_box_valid,source_file
1,1,Spectrogram 1,1,1.809972491,2.179845951,0.0,13155.5,b2b93b21f98c0065a71c,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.36987346,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
2,2,Spectrogram 1,1,0.107241417,0.210105634,394.7,10392.8,8d4381f35fb3ab24298b,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.102864217,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
3,3,Spectrogram 1,1,0.418022667,0.564658891,723.6,14668.4,69cdba8e7158aa30a56a,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.1466362239999999,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
4,4,Spectrogram 1,1,0.768198724,0.901703345,789.3,14405.2,af7ebcb06f76c1ced87f,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.133504621,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
5,5,Spectrogram 1,1,1.122751981,1.273765405,0.0,13944.8,cce56bc072e57ab30020,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.151013424,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
6,6,Spectrogram 1,1,1.451042033,1.580169454,1776.0,13352.8,56ffb2cbb9e4644c06f9,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.1291274209999999,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
7,7,Spectrogram 1,1,2.398705986,2.530022007,1184.0,13352.8,b40c3a7ff14a3ac1f4c2,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.1313160209999999,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
8,8,Spectrogram 1,1,2.762013644,2.873632262,263.1,13418.6,642b2c47bd5de14db0f9,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.111618618,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
9,9,Spectrogram 1,1,3.055286092,3.182224912,723.6,12695.0,9091d04e3c9344727d0d,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.1269388200000003,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
10,10,Spectrogram 1,1,3.451422755,3.569607174,1118.2,12234.6,cb933da6e765afed67fa,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.1181844190000003,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
11,11,Spectrogram 1,1,3.79284441,3.959178037,592.0,9340.4,d4b59b8995fbe16feddd,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.1663336270000002,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
