syllable_structure,bucket_a,bucket_b,n_a,n_b,recordings_a,recordings_b,n_pair_recordings,pairwise_recording_ba,ba_status,knn_cross_group_mixing,distance_perceptual_94d,distance_logmel_pca30,distance_fused_60d,distance_composite_nonnoise,bootstrap_distance_ci_low,bootstrap_distance_ci_high,bootstrap_coassignment_adaptive,distance_perceptual_94d_percentile,distance_logmel_pca30_percentile,distance_fused_60d_percentile,distance_composite_nonnoise_percentile,n_primary_views_near,evidence_adequate,recommendation,merge_evidence_score
single,single_group_01,single_group_13,470,8,97,2,98,0.6864361702127659,ok,0.010878661087866108,5.23336935043335,0.7756294259249195,0.97475368938889,1.2144870388252642,0.9458646178245544,1.1858623027801514,0.0,0.3076923076923077,0.3956043956043956,0.32967032967032966,0.7582417582417582,0,False,insufficient_evidence,0.27159500974855294
single,single_group_07,single_group_13,31,8,16,2,16,,single_class_train_fold,0.15897435897435896,4.529036998748779,0.7831206589503197,0.9632214768333256,1.2464948492281804,0.9395538568496704,1.3182340860366821,0.01,0.16483516483516483,0.42857142857142855,0.3076923076923077,0.7912087912087912,1,False,insufficient_evidence,0.14708058608058608
single,single_group_05,single_group_13,83,8,38,2,40,0.875,ok,0.046153846153846156,5.670169353485107,0.8899199789515161,1.1302194194925175,1.3604961473856936,1.0826579332351685,1.326169729232788,0.0,0.3956043956043956,0.6923076923076923,0.6153846153846154,0.8901098901098901,0,False,insufficient_evidence,0.13491758241758242
single,single_group_09,single_group_13,32,8,17,2,17,,single_class_train_fold,0.13,4.585398197174072,0.832902262125153,1.0608390723628471,1.1821354240270443,0.9877229332923889,1.4241909980773926,0.0,0.17582417582417584,0.5714285714285714,0.4945054945054945,0.7252747252747253,1,False,insufficient_evidence,0.11556043956043957
single,single_group_04,single_group_13,104,8,45,2,45,0.875,ok,0.02142857142857143,8.36150074005127,0.8235513465972604,1.1808211949925198,1.3887079887941702,1.1510810852050781,1.3681763410568237,0.0,0.8571428571428571,0.5274725274725275,0.7362637362637363,0.9340659340659341,0,False,insufficient_evidence,0.10964285714285714
single,single_group_02,single_group_13,53,8,25,2,26,,single_class_train_fold,0.04262295081967213,5.855118751525879,0.8045018071180586,1.0931378182155778,1.364550503737443,1.0694069862365723,1.3426376581192017,0.0,0.45054945054945056,0.4835164835164835,0.5714285714285714,0.9010989010989011,0,False,insufficient_evidence,0.07775535939470365
single,single_group_06,single_group_13,29,8,11,2,13,,single_class_train_fold,0.0972972972972973,6.12830924987793,1.0204494558051938,1.2332631441730206,1.3781634979467505,1.1616085767745972,1.5556528568267822,0.0,0.5054945054945055,0.8241758241758241,0.7472527472527473,0.9230769230769231,0,False,insufficient_evidence,0.06121770121770122
single,single_group_03,single_group_13,125,8,42,2,43,,single_class_train_fold,0.02857142857142857,6.112368106842041,0.9092924682184589,1.158620735029147,1.4370762058248157,1.132594347000122,1.3600465059280396,0.0,0.4945054945054945,0.7252747252747253,0.6923076923076923,0.9560439560439561,0,False,insufficient_evidence,0.05406593406593407
single,single_group_12,single_group_13,32,8,10,2,12,1.0,ok,0.06,7.085098743438721,0.9780039900634399,1.2840661566908262,1.4381777855630589,1.2433990240097046,1.5828434228897095,0.0,0.6263736263736264,0.7802197802197802,0.7912087912087912,0.967032967032967,0,False,insufficient_evidence,0.04496703296703298
single,single_group_08,single_group_13,41,8,16,2,18,1.0,ok,0.04081632653061224,6.915981292724609,1.0176459014129298,1.3493331078749244,1.5586297352604528,1.2333946228027344,1.5480661392211914,0.0,0.6043956043956044,0.8131868131868132,0.8571428571428571,1.0,0,False,insufficient_evidence,0.029591836734693885
single,single_group_10,single_group_13,59,8,20,2,22,,single_class_train_fold,0.0029850746268656717,9.271169662475586,0.9824756656620734,1.3374386547507535,1.4587292770161056,1.3094065189361572,1.6241854429244995,0.0,0.9560439560439561,0.7912087912087912,0.8241758241758241,0.978021978021978,0,False,insufficient_evidence,0.028069542397900618
single,single_group_11,single_group_13,55,8,16,2,18,,single_class_train_fold,0.006349206349206349,8.441340446472168,1.1336739122003567,1.4129527059612434,1.4967808713635857,1.352677345275879,1.583547592163086,0.0,0.8791208791208791,0.9230769230769231,0.9010989010989011,0.989010989010989,0,False,insufficient_evidence,0.016654456654456647
single,single_group_13,single_group_14,8,31,2,5,7,,single_class_train_fold,0.03076923076923077,8.416499137878418,1.2732084733781712,1.6198665614220633,1.4292297745245235,1.593355655670166,1.8839131593704224,0.0,0.8681318681318682,1.0,1.0,0.945054945054945,0,False,insufficient_evidence,0.008901098901098903
single,single_group_05,single_group_06,83,29,38,11,46,0.8078520980473618,ok,0.17857142857142858,2.800961971282959,0.5442760291468829,0.6893316783634104,0.7190581673781709,0.6374773979187012,1.0172700881958008,0.84,0.02197802197802198,0.054945054945054944,0.054945054945054944,0.07692307692307693,3,True,keep_separate,0.4037003246026928
single,single_group_03,single_group_04,125,104,42,45,63,0.9039230769230769,ok,0.1633187772925764,4.6098527908325195,0.4997103960872633,0.6882471058264552,0.6376142994425669,0.640641987323761,0.8689789772033691,1.0,0.18681318681318682,0.04395604395604396,0.04395604395604396,0.04395604395604396,3,True,keep_separate,0.371911008205768
single,single_group_05,single_group_07,83,31,38,16,48,0.8630003886513797,ok,0.09824561403508772,2.9400346279144287,0.5867531528707333,0.6974354242183118,0.8460032056764709,0.6491611003875732,1.0835645198822021,0.81,0.03296703296703297,0.10989010989010989,0.06593406593406594,0.2087912087912088,3,True,keep_separate,0.3488192581516574
single,single_group_01,single_group_03,470,125,97,42,107,0.920595744680851,ok,0.06521008403361345,3.659571409225464,0.4284759192859752,0.5717268289487993,0.6235913971240511,0.543993353843689,0.7178854942321777,1.0,0.06593406593406594,0.02197802197802198,0.02197802197802198,0.03296703296703297,3,True,keep_separate,0.3477990895212422
single,single_group_06,single_group_07,29,31,11,16,26,0.8342602892102335,ok,0.16,3.9177255630493164,0.7232896044941193,0.8822786148357169,0.8023375409929275,0.8217505812644958,1.2674503326416016,0.65,0.0989010989010989,0.31868131868131866,0.18681318681318682,0.16483516483516483,2,True,keep_separate,0.34360611913114697
single,single_group_03,single_group_06,125,29,42,11,49,0.8737931034482759,ok,0.09350649350649351,3.4600021839141846,0.626440953568098,0.7799361336950613,0.7048124175093159,0.7150559425354004,1.093461275100708,0.75,0.054945054945054944,0.17582417582417584,0.13186813186813187,0.06593406593406594,3,True,keep_separate,0.3337278239002377
single,single_group_01,single_group_04,470,104,97,45,110,0.9541734860883797,ok,0.07491289198606271,4.748049736022949,0.44414297539423525,0.6666066343006365,0.60031895915812,0.6394861340522766,0.8438125252723694,1.0,0.24175824175824176,0.03296703296703297,0.03296703296703297,0.02197802197802198,2,True,keep_separate,0.3318518793090666
single,single_group_01,single_group_09,470,32,97,17,101,0.8601063829787234,ok,0.046215139442231074,3.8514552116394043,0.578067506033385,0.7378824705379332,0.6609332794002603,0.657184898853302,0.9601913094520569,0.6,0.07692307692307693,0.0989010989010989,0.08791208791208792,0.054945054945054944,3,True,keep_separate,0.3232557704650186
single,single_group_03,single_group_05,125,83,42,38,66,0.9378795180722892,ok,0.10673076923076923,3.2803280353546143,0.5630641614410145,0.7213326112707041,0.8135498352959116,0.6690398454666138,0.8988532423973083,0.91,0.04395604395604396,0.08791208791208792,0.07692307692307693,0.18681318681318682,3,True,keep_separate,0.3225272739308884
single,single_group_02,single_group_07,53,31,25,16,36,0.8198417528910529,ok,0.06666666666666667,5.042688369750977,0.7232486435559772,0.9420646467593741,0.9356233011901112,0.8974580764770508,1.2226625680923462,0.73,0.2857142857142857,0.3076923076923077,0.2857142857142857,0.38461538461538464,0,True,keep_separate,0.3143245447998948
single,single_group_04,single_group_05,104,83,45,38,69,0.9446246524559778,ok,0.09946524064171124,5.827026844024658,0.5452914423191566,0.8353869034198196,0.7898951927189574,0.7988284826278687,1.0075124502182007,0.91,0.4175824175824176,0.06593406593406594,0.16483516483516483,0.14285714285714285,2,True,keep_separate,0.3067125900322215
single,single_group_01,single_group_05,470,83,97,38,105,0.9475519097667264,ok,0.0325497287522604,4.734154224395752,0.5556816831811724,0.7438371967805685,0.7597926490080981,0.7187217473983765,0.8682950735092163,0.91,0.21978021978021978,0.07692307692307693,0.0989010989010989,0.13186813186813187,2,True,keep_separate,0.30230541943851746
single,single_group_01,single_group_06,470,29,97,11,99,0.9278429933969186,ok,0.029258517034068135,5.25098180770874,0.5915928608645293,0.7752469567510413,0.7382090336668538,0.7507668137550354,1.0757561922073364,0.75,0.31868131868131866,0.12087912087912088,0.12087912087912088,0.10989010989010989,2,True,keep_separate,0.2933038330819807
single,single_group_02,single_group_03,53,125,25,42,60,0.978566037735849,ok,0.03932584269662921,4.786280632019043,0.6353809928924594,0.8604355053223006,0.8012080296041273,0.8289539217948914,1.0180487632751465,0.97,0.25274725274725274,0.2087912087912088,0.17582417582417584,0.15384615384615385,1,True,keep_separate,0.28151621560546725
single,single_group_02,single_group_04,53,104,25,45,63,0.9857583454281568,ok,0.033121019108280254,5.739023208618164,0.6042625393085834,0.8847375907447252,0.755886672601099,0.8526533246040344,1.0789973735809326,0.97,0.4065934065934066,0.15384615384615385,0.1978021978021978,0.12087912087912088,2,True,keep_separate,0.275030745393292
single,single_group_08,single_group_09,41,32,16,17,30,0.928734756097561,ok,0.1095890410958904,4.873415946960449,0.724715663833213,0.9127255204260519,0.9218774045136994,0.7886896133422852,1.1325900554656982,0.56,0.26373626373626374,0.32967032967032966,0.25274725274725274,0.34065934065934067,0,True,keep_separate,0.25860537522534266
single,single_group_04,single_group_06,104,29,45,11,49,1.0,ok,0.09924812030075188,6.412789821624756,0.6328824628720441,0.8980422976018798,0.8582629455683884,0.8697304129600525,1.1755199432373047,0.75,0.5384615384615384,0.1978021978021978,0.21978021978021978,0.21978021978021978,1,True,keep_separate,0.25089358010410645
single,single_group_01,single_group_08,470,41,97,16,103,0.9495848469122989,ok,0.03953033268101761,4.518520832061768,0.6180085694836329,0.816307738789879,0.7291533216186853,0.7118650078773499,1.0231115818023682,0.44,0.15384615384615385,0.16483516483516483,0.14285714285714285,0.0989010989010989,3,True,keep_separate,0.2507400167064277
single,single_group_02,single_group_05,53,83,25,38,55,0.9845419413503069,ok,0.03529411764705882,5.408195972442627,0.6392097624066607,0.9006266831585945,0.9206351944685689,0.903432309627533,1.0706422328948975,0.88,0.3626373626373626,0.21978021978021978,0.24175824175824176,0.32967032967032966,0,True,keep_separate,0.2500406001070055
single,single_group_02,single_group_09,53,32,25,17,37,0.9342570754716981,ok,0.06352941176470588,4.4295973777771,0.7070852467648099,0.9279147806666804,0.8959061378364369,0.8905431628227234,1.1695674657821655,0.57,0.13186813186813187,0.2857142857142857,0.26373626373626374,0.26373626373626374,1,True,keep_separate,0.24983009186983937
single,single_group_03,single_group_09,125,32,42,17,51,0.953125,ok,0.0535031847133758,5.027780055999756,0.6913809602432327,0.8983792277019624,0.9045669499477164,0.7905992269515991,1.1130433082580566,0.6,0.27472527472527475,0.25274725274725274,0.23076923076923078,0.3076923076923077,0,True,keep_separate,0.2441381369426751
single,single_group_04,single_group_07,104,31,45,16,51,0.9629342431761787,ok,0.03111111111111111,6.850963592529297,0.6606144270350688,0.9556175574993658,0.892919224631634,0.9125081300735474,1.263260006904602,0.76,0.5934065934065934,0.23076923076923078,0.2967032967032967,0.25274725274725274,0,True,keep_separate,0.24361224349127572
single,single_group_10,single_group_11,59,55,20,16,31,0.8516178736517719,ok,0.16140350877192983,4.451292514801025,0.8868297154494087,1.0564469646656338,0.8098592925226655,0.9575709700584412,1.4202072620391846,0.12,0.14285714285714285,0.6703296703296703,0.46153846153846156,0.17582417582417584,1,True,keep_separate,0.240449786906522
single,single_group_02,single_group_06,53,29,25,11,34,0.9560832791151594,ok,0.06585365853658537,5.843232154846191,0.7760110912235056,0.984465544745505,0.9351132688161596,0.9840091466903687,1.2558199167251587,0.72,0.43956043956043955,0.4065934065934066,0.3516483516483517,0.37362637362637363,0,True,keep_separate,0.23570052072116593
single,single_group_04,single_group_08,104,41,45,16,54,0.9829971857410882,ok,0.041379310344827586,6.780456066131592,0.6325416032481611,0.9668311609768911,0.8835123063518293,0.9005231261253357,1.234929084777832,0.44,0.5824175824175825,0.18681318681318682,0.31868131868131866,0.24175824175824176,1,True,keep_separate,0.20088715930831155
single,single_group_04,single_group_09,104,32,45,17,51,0.984375,ok,0.025,7.4517340660095215,0.7288556891914333,1.0363832953032197,0.9003679990995357,0.9459478855133057,1.2404823303222656,0.6,0.6813186813186813,0.34065934065934067,0.4065934065934066,0.2857142857142857,0,True,keep_separate,0.19753777472527476
single,single_group_03,single_group_08,125,41,42,16,49,0.9838048780487805,ok,0.016867469879518072,5.590151309967041,0.7146665906396653,0.9419341120475051,0.9338035803168028,0.9020891189575195,1.1375278234481812,0.44,0.38461538461538464,0.2967032967032967,0.27472527472527475,0.3626373626373626,0,True,keep_separate,0.19613039561085402
single,single_group_01,single_group_12,470,32,97,10,100,0.8572473404255319,ok,0.022310756972111555,5.433383464813232,0.7634290655845902,0.9869320913426587,1.0627114634296904,0.9683253169059753,1.2876893281936646,0.0,0.37362637362637363,0.38461538461538464,0.3626373626373626,0.5714285714285714,0,True,keep_separate,0.1928714482146234
single,single_group_02,single_group_08,53,41,25,16,36,0.9783709157846295,ok,0.05531914893617021,4.651692867279053,0.7359829475711659,1.0170769472748482,0.9053354392459557,0.911699652671814,1.2457365989685059,0.41,0.1978021978021978,0.3516483516483517,0.3956043956043956,0.31868131868131866,1,True,keep_separate,0.18760364662019402
