rank,source_file,prob,site,max_bout_all,bout_dur_all,n_seg_all,max_bout,n_nontype1_total,n_distinct_nontype1,aci,duty_cycle,peak_rate,orig_path
1,guanyinya_2023-06-14-birdnet-14_24_12,0.6175566954492759,guanyinya,10.0,4.098663333333338,51.0,7.0,3.0,1.0,407.2772216796875,0.1655558517728605,34.82286634460547,inputs/guanyinya_2023-06-14-birdnet-14_24_12.mp3
2,liangzhuang_2023-06-19-birdnet-06_45_43,0.5428042936719889,liangzhuang,14.0,5.114663333333333,69.0,4.0,0.0,0.0,424.9111633300781,0.1562250066648893,45.22184300341297,inputs/liangzhuang_2023-06-19-birdnet-06_45_43.mp3
3,guanyinya_2023-06-14-birdnet-09_29_09,0.519293535242745,guanyinya,16.0,6.337329999999998,55.0,7.0,0.0,0.0,400.0662536621094,0.191149026926153,42.36401673640167,inputs/guanyinya_2023-06-14-birdnet-09_29_09.mp3
4,yongxing_2024-04-21-birdnet-10_58_16,0.4980265552321137,yongxing,7.0,2.80533,47.0,7.0,20.0,2.0,394.60552978515625,0.1428952279392162,34.748134328358205,inputs/yongxing_2024-04-21-birdnet-10_58_16.mp3
5,yongxing_2023-05-18-birdnet-11_54_35,0.483688479158903,yongxing,9.0,3.254663333333337,41.0,4.0,1.0,1.0,397.3650512695313,0.1018395094641429,47.12041884816754,inputs/yongxing_2023-05-18-birdnet-11_54_35.mp3
6,guanyinya_2023-07-11-birdnet-08_38_43,0.4702307731866588,guanyinya,41.0,14.47333,67.0,3.0,1.0,1.0,377.2770385742188,0.1332977872567315,34.75,inputs/guanyinya_2023-07-11-birdnet-08_38_43.mp3
7,liangzhuang_2023-06-19-birdnet-07_42_44,0.4616996273937417,liangzhuang,15.0,4.79733,66.0,4.0,0.0,0.0,404.28369140625,0.1388962943215142,40.78694817658349,inputs/liangzhuang_2023-06-19-birdnet-07_42_44.mp3
8,yongxing_2023-05-19-birdnet-07_50_45,0.4602367037611887,yongxing,20.0,7.381329999999999,55.0,9.0,1.0,1.0,386.087158203125,0.2031458277792588,41.830708661417326,inputs/yongxing_2023-05-19-birdnet-07_50_45.mp3
9,liujiaxia_2023-07-10-birdnet-11_45_52,0.4576940489902808,liujiaxia,16.0,5.311996666666673,73.0,5.0,1.0,1.0,404.779052734375,0.1069048253798986,47.069825436408976,inputs/liujiaxia_2023-07-10-birdnet-11_45_52.mp3
10,liangzhuang_2023-06-18-birdnet-06_28_00,0.4563829706434614,liangzhuang,13.0,5.147996666666668,40.0,5.0,0.0,0.0,431.8507690429688,0.1908824313516395,44.16899441340782,inputs/liangzhuang_2023-06-18-birdnet-06_28_00.mp3
11,yongxing_2023-07-08-birdnet-13_57_41,0.4559420819455441,yongxing,49.0,21.003996666666666,59.0,9.0,0.0,0.0,389.8009643554688,0.1903492402026126,39.56582633053222,inputs/yongxing_2023-07-08-birdnet-13_57_41.mp3
12,yongxing_2024-05-18-birdnet-13_58_47,0.4492371396123543,yongxing,14.0,6.5533300000000025,65.0,14.0,1.0,1.0,411.8577270507813,0.1274326846174353,38.44142259414226,inputs/yongxing_2024-05-18-birdnet-13_58_47.mp3
13,minqin_2023-07-15-birdnet-14_30_11,0.4319737200971535,minqin,14.0,6.426663333333336,41.0,7.0,0.0,0.0,390.3011474609375,0.1386296987470008,43.26923076923077,inputs/minqin_2023-07-15-birdnet-14_30_11.mp3
14,minqin_2023-07-15-birdnet-12_51_10,0.4318155110141625,minqin,7.0,2.96933,36.0,3.0,1.0,1.0,386.5934448242188,0.1327645961077046,29.869477911646587,inputs/minqin_2023-07-15-birdnet-12_51_10.mp3
15,liangzhuang_2024-04-20-birdnet-10_34_33,0.4153310407821204,liangzhuang,15.0,8.251996666666669,38.0,9.0,1.0,1.0,387.3405456542969,0.1994134897360703,30.74866310160428,inputs/liangzhuang_2024-04-20-birdnet-10_34_33.mp3
16,liangzhuang_2023-05-26-birdnet-09_12_03,0.4120853138828955,liangzhuang,12.0,5.517329999999999,43.0,6.0,0.0,0.0,382.3269653320313,0.1868834977339376,39.22967189728959,inputs/liangzhuang_2023-05-26-birdnet-09_12_03.mp3
17,yongxing_2023-06-22-birdnet-18_24_37,0.409285432819961,yongxing,20.0,6.18933,72.0,3.0,0.0,0.0,415.022705078125,0.1431618235137296,49.34823091247672,inputs/yongxing_2023-06-22-birdnet-18_24_37.mp3
18,guanyinya_2023-06-13-birdnet-16_00_30,0.4045790193147952,guanyinya,51.0,18.501330000000003,78.0,6.0,0.0,0.0,403.5972290039063,0.1679552119434817,36.70634920634921,inputs/guanyinya_2023-06-13-birdnet-16_00_30.mp3
19,shuanghe_2023-06-12-birdnet-08_26_19,0.3958298312810658,shuanghe,14.0,6.235996666666667,61.0,6.0,0.0,0.0,395.7225036621094,0.1626233004532124,38.9344262295082,inputs/shuanghe_2023-06-12-birdnet-08_26_19.mp3
20,guanyinya_2023-07-11-birdnet-08_42_13,0.3946273070099719,guanyinya,33.0,12.679996666666664,72.0,5.0,5.0,1.0,382.4705505371094,0.1450279925353239,42.73897058823529,inputs/guanyinya_2023-07-11-birdnet-08_42_13.mp3
21,guanyinya_2023-06-14-birdnet-14_49_12,0.3861723488393387,guanyinya,18.0,7.309330000000003,42.0,4.0,1.0,1.0,413.07525634765625,0.1711543588376433,28.23208722741433,inputs/guanyinya_2023-06-14-birdnet-14_49_12.mp3
22,minqin_2023-07-15-birdnet-12_17_40,0.3841069771422324,minqin,10.0,4.191996666666668,64.0,4.0,0.0,0.0,398.4150085449219,0.0999733404425486,45.333333333333336,inputs/minqin_2023-07-15-birdnet-12_17_40.mp3
23,yongxing_2023-05-19-birdnet-12_20_18,0.3840127896746184,yongxing,23.0,10.06933,69.0,8.0,6.0,2.0,368.044189453125,0.1948813649693415,33.515731874145004,inputs/yongxing_2023-05-19-birdnet-12_20_18.mp3
24,liangzhuang_2023-06-18-birdnet-15_51_35,0.3793748693141298,liangzhuang,19.0,6.074663333333332,47.0,3.0,0.0,0.0,416.572265625,0.1173020527859237,41.47727272727273,inputs/liangzhuang_2023-06-18-birdnet-15_51_35.mp3
25,guanyinya_2023-06-13-birdnet-16_01_00,0.3779175105408033,guanyinya,19.0,8.146663333333333,58.0,4.0,1.0,1.0,420.5204772949219,0.162356704878699,48.23481116584565,inputs/guanyinya_2023-06-13-birdnet-16_01_00.mp3
26,yongxing_2023-06-21-birdnet-18_56_43,0.3678190552088775,yongxing,18.0,7.141329999999999,76.0,6.0,1.0,1.0,379.8510437011719,0.1538256464942682,39.21143847487002,inputs/yongxing_2023-06-21-birdnet-18_56_43.mp3
27,yongxing_2023-05-19-birdnet-07_51_15,0.3666302420864344,yongxing,13.0,6.78933,47.0,4.0,0.0,0.0,404.9228820800781,0.1900826446280991,46.80925666199159,inputs/yongxing_2023-05-19-birdnet-07_51_15.mp3
28,liujiaxia_2024-04-22-birdnet-07_26_10,0.3660513940776102,liujiaxia,16.0,6.2959966666666665,59.0,3.0,0.0,0.0,408.7483520507813,0.1503599040255931,41.88829787234043,inputs/liujiaxia_2024-04-22-birdnet-07_26_10.mp3
29,liangzhuang_2023-06-17-birdnet-15_19_52,0.3644642615090767,liangzhuang,18.0,7.223996666666668,38.0,4.0,0.0,0.0,419.8279418945313,0.1812849906691549,49.264705882352935,inputs/liangzhuang_2023-06-17-birdnet-15_19_52.mp3
30,yongxing_2024-04-21-birdnet-10_12_45,0.3637834129680073,yongxing,24.0,9.415996666666668,71.0,9.0,1.0,1.0,407.620361328125,0.1290322580645161,55.26859504132232,inputs/yongxing_2024-04-21-birdnet-10_12_45.mp3
31,guanyinya_2023-07-09-birdnet-05_42_12,0.360246147884406,guanyinya,26.0,9.847996666666669,55.0,12.0,0.0,0.0,396.1170043945313,0.2039456145027992,35.78431372549019,inputs/guanyinya_2023-07-09-birdnet-05_42_12.mp3
