source_file,n_rel,max_bout,bout_dur,bout_rate,isi_cv,n_song_in_bout,n_types_bout,n_song_total,n_nontype1_total,frac_nontype1,n_distinct_nontype1,bout_start_s,bout_end_s
guanyinya_2024-04-18-birdnet-10_58_05,1.0,1.0,0.2039966666666686,4.902040883020918,,0.0,0.0,0.0,0.0,0.0,0.0,26.75666833333333,26.960665
guanyinya_2024-04-18-birdnet-10_59_35,3.0,1.0,0.7026633333333334,1.4231566563408744,,0.0,0.0,0.0,0.0,0.0,0.0,0.1086683333333333,0.8113316666666667
guanyinya_2024-04-18-birdnet-11_01_05,1.0,1.0,0.11599666666666675,8.620937383258134,,0.0,0.0,0.0,0.0,0.0,0.0,4.112668333333334,4.228665
guanyinya_2024-04-18-birdnet-11_02_35,2.0,2.0,0.4266633333333374,4.6875366213798095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.488668333333331,12.915331666666669
guanyinya_2024-04-18-birdnet-11_11_05,2.0,1.0,0.25732999999999984,3.8860607002681404,,0.0,0.0,0.0,0.0,0.0,0.0,1.3700016666666668,1.6273316666666666
guanyinya_2024-04-18-birdnet-11_44_10,2.0,2.0,0.3279966666666674,6.097622943322581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.655335,18.98333166666667
guanyinya_2024-04-18-birdnet-11_44_35,1.0,1.0,0.5079966666666706,1.9685168537851143,,0.0,0.0,0.0,0.0,0.0,0.0,24.287335,24.79533166666667
guanyinya_2024-04-18-birdnet-12_06_10,4.0,1.0,0.3106633333333324,3.218918657925524,,0.0,0.0,0.0,0.0,0.0,0.0,7.983335,8.293998333333333
guanyinya_2024-04-18-birdnet-12_08_10,3.0,1.0,0.18666333333333363,5.357238522116458,,0.0,0.0,0.0,0.0,0.0,0.0,9.442001666666666,9.628665
guanyinya_2024-04-18-birdnet-12_13_36,7.0,2.0,0.31333000000000055,6.383046628155608,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.576668333333333,3.8899983333333337
guanyinya_2024-04-18-birdnet-12_14_36,1.0,1.0,0.26532999999999873,3.768891568989578,,0.0,0.0,0.0,0.0,0.0,0.0,15.094001666666667,15.359331666666666
guanyinya_2024-04-18-birdnet-12_15_06,3.0,1.0,0.11866333333333756,8.427203011320243,,0.0,0.0,0.0,0.0,0.0,0.0,20.186001666666662,20.304665
guanyinya_2024-04-18-birdnet-12_15_36,1.0,1.0,0.12399666666666675,8.06473292292803,,0.0,0.0,0.0,0.0,0.0,0.0,13.964668333333334,14.088665
guanyinya_2024-04-18-birdnet-12_16_06,2.0,2.0,0.23333000000000226,8.571551022157376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.631335,16.864665000000002
guanyinya_2024-04-18-birdnet-12_19_06,1.0,1.0,0.13999666666666677,7.143027214933683,,0.0,0.0,0.0,0.0,0.0,0.0,8.340668333333333,8.480665
guanyinya_2024-04-18-birdnet-12_22_11,1.0,1.0,0.20133000000000045,4.9669696518154165,,0.0,0.0,0.0,0.0,0.0,0.0,2.947335,3.1486650000000003
guanyinya_2024-04-18-birdnet-14_00_07,1.0,1.0,0.23466333333333456,4.261424167956909,,0.0,0.0,0.0,0.0,0.0,0.0,3.994001666666666,4.228665
guanyinya_2024-04-18-birdnet-14_09_37,3.0,2.0,0.48932999999999893,4.087221302597438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.238001666666667,5.727331666666666
