metric,value,ci95_low,ci95_high,numerator,denominator,note
candidate_any_song_yield,0.09149406796702192,0.08379319442636883,0.09982556586205653,455.0,4973.0,其余候选为第一人粗筛暂定阴性；未经第二人复核
candidate_usable_song_yield,0.04343454655137744,0.03811300469819142,0.04946090385946044,216.0,4973.0,可用于后续声学分析的鸣唱/全部阈值候选
usable_fraction_among_confirmed_songs,0.4747252747252747,0.4292453309525557,0.5206284226984021,216.0,455.0,序号106按high/usable处理
unusable_fraction_among_confirmed_songs,0.5252747252747253,0.47937157730159785,0.5707546690474443,239.0,455.0,确认是鸣唱，但音量/背景叫声/噪声等导致不可分析
high_shortlist_song_confirmation,1.0,0.9825262312154358,1.0000000000000002,216.0,216.0,第二人确认；high全部为鸣唱且可分析
medium_raw_list_song_confirmation,1.0,0.9842460800584412,1.0,240.0,240.0,第二人确认；原始medium列表全部为鸣唱
deduplicated_shortlist_song_confirmation,1.0,0.9916279169049645,0.9999999999999999,455.0,455.0,high与medium去重后全部为鸣唱
candidate_retention_fraction,0.09011996665579355,0.08775921404907897,0.0925377823507168,4973.0,55182.0,阈值0.02候选数/未听且非金标准部署集
candidate_reduction_fraction,0.9098800333442064,0.9074622176492831,0.9122407859509211,50209.0,55182.0,阈值0.02相对部署集减少的人工审听比例
candidate_internal_roc_auc_any_song,0.7192096084526365,0.6935040545996721,0.7450830013280211,,4973.0,候选集内部排序；阴性为第一人粗筛暂定阴性
candidate_internal_average_precision_any_song,0.2684043811916794,0.23459417424420542,0.30956357678030044,,4973.0,候选集内部PR/AP；阴性为第一人粗筛暂定阴性
candidate_internal_roc_auc_usable_song,0.7331126059841637,0.6971813711178069,0.7683028519374955,,4973.0,候选集内部排序；阴性为第一人粗筛暂定阴性
candidate_internal_average_precision_usable_song,0.1734781250411659,0.1361548283864034,0.22375612689086266,,4973.0,候选集内部PR/AP；阴性为第一人粗筛暂定阴性
internal_oof_recall_at_threshold_0.02,0.9107142857142856,,,,,训练集5折OOF估计；非本次部署集外部召回
