file,kind,source,base_recording,site,region,year,src_path
liujiaxia_2024-05-02-birdnet-01_10_48__bout_017.wav,pipeline,2024_strongbout,liujiaxia_2024-05-02-birdnet-01_10_48,liujiaxia,control,2024,tmp/test_knn_2024/song_selection/listen_2024/3_strongbout_noclass_song/liujiaxia_2024-05-02-birdnet-01_10_48__bout_017.wav
liujiaxia_2024-05-02-birdnet-01_11_18_01.wav,manual,manual_2person,liujiaxia_2024-05-02-birdnet-01_11_18,liujiaxia,control,2024,birdsongs/wav_manul_seg_final_bandpass/liujiaxia_2024-05-02-birdnet-01_11_18_01.wav
liujiaxia_2024-06-25-birdnet-05_52_12.wav,manual,manual_2person,liujiaxia_2024-06-25-birdnet-05_52_12,liujiaxia,control,2024,birdsongs/wav_manul_seg_final_bandpass/liujiaxia_2024-06-25-birdnet-05_52_12.wav
liujiaxia_2024-06-25-birdnet-06_00_42.wav,manual,manual_2person,liujiaxia_2024-06-25-birdnet-06_00_42,liujiaxia,control,2024,birdsongs/wav_manul_seg_final_bandpass/liujiaxia_2024-06-25-birdnet-06_00_42.wav
liujiaxia_2024-06-26-birdnet-09_09_36.wav,manual,manual_2person,liujiaxia_2024-06-26-birdnet-09_09_36,liujiaxia,control,2024,birdsongs/wav_manul_seg_final_bandpass/liujiaxia_2024-06-26-birdnet-09_09_36.wav
guanyinya_2023-06-14-birdnet-14_25_12_01.wav,manual,manual_2person,guanyinya_2023-06-14-birdnet-14_25_12,guanyinya,polluted,2023,birdsongs/wav_manul_seg_final_bandpass/guanyinya_2023-06-14-birdnet-14_25_12_01.wav
guanyinya_2023-06-14-birdnet-14_26_42_01_01.wav,manual,manual_2person,guanyinya_2023-06-14-birdnet-14_26_42,guanyinya,polluted,2023,birdsongs/wav_manul_seg_final_bandpass/guanyinya_2023-06-14-birdnet-14_26_42_01_01.wav
guanyinya_2023-06-14-birdnet-14_50_42_01.wav,manual,manual_2person,guanyinya_2023-06-14-birdnet-14_50_42,guanyinya,polluted,2023,birdsongs/wav_manul_seg_final_bandpass/guanyinya_2023-06-14-birdnet-14_50_42_01.wav
guanyinya_2023-06-14-birdnet-16_23_43__bout_008.wav,pipeline,2023_ruleB,guanyinya_2023-06-14-birdnet-16_23_43,guanyinya,polluted,2023,tmp/test_knn_2023/song_selection/ruleB_song/guanyinya_2023-06-14-birdnet-16_23_43__bout_008.wav
guanyinya_2023-07-08-birdnet-15_06_34.wav,manual,manual_2person,guanyinya_2023-07-08-birdnet-15_06_34,guanyinya,polluted,2023,birdsongs/wav_manul_seg_final_bandpass/guanyinya_2023-07-08-birdnet-15_06_34.wav
guanyinya_2023-07-08-birdnet-15_07_04_01.wav,manual,manual_2person,guanyinya_2023-07-08-birdnet-15_07_04,guanyinya,polluted,2023,birdsongs/wav_manul_seg_final_bandpass/guanyinya_2023-07-08-birdnet-15_07_04_01.wav
guanyinya_2023-07-11-birdnet-08_37_13_01.wav,manual,manual_2person,guanyinya_2023-07-11-birdnet-08_37_13,guanyinya,polluted,2023,birdsongs/wav_manul_seg_final_bandpass/guanyinya_2023-07-11-birdnet-08_37_13_01.wav
guanyinya_2023-07-11-birdnet-08_39_13_01.wav,manual,manual_2person,guanyinya_2023-07-11-birdnet-08_39_13,guanyinya,polluted,2023,birdsongs/wav_manul_seg_final_bandpass/guanyinya_2023-07-11-birdnet-08_39_13_01.wav
guanyinya_2023-07-11-birdnet-08_40_13__bout_004.wav,pipeline,2023c_ruleD,guanyinya_2023-07-11-birdnet-08_40_13,guanyinya,polluted,2023,tmp/test_knn_2023/song_selection/listen_2023_catchup/2_ruleD_song/guanyinya_2023-07-11-birdnet-08_40_13__bout_004.wav
guanyinya_2023-07-11-birdnet-08_40_43__bout_005.wav,pipeline,2023c_ruleD,guanyinya_2023-07-11-birdnet-08_40_43,guanyinya,polluted,2023,tmp/test_knn_2023/song_selection/listen_2023_catchup/2_ruleD_song/guanyinya_2023-07-11-birdnet-08_40_43__bout_005.wav
guanyinya_2023-07-11-birdnet-08_41_43_01.wav,manual,manual_2person,guanyinya_2023-07-11-birdnet-08_41_43,guanyinya,polluted,2023,birdsongs/wav_manul_seg_final_bandpass/guanyinya_2023-07-11-birdnet-08_41_43_01.wav
