structure,main_element_count,family_id,family_number,family_syllables,leaf_id,terminal_role,syllables
single,1,single_group_01,01,470,single_group_01,Main,375
single,1,single_group_01,01,470,single_group_01_v1,v1,95
single,1,single_group_02,02,53,single_group_02,Main,40
single,1,single_group_02,02,53,single_group_02_v1,v1,13
single,1,single_group_03,03,125,single_group_03,Main,125
single,1,single_group_04,04,104,single_group_04,Main,83
single,1,single_group_04,04,104,single_group_04_v1,v1,21
single,1,single_group_05,05,83,single_group_05,Main,66
single,1,single_group_05,05,83,single_group_05_v1,v1,17
single,1,single_group_06,06,29,single_group_06,Main,29
single,1,single_group_07,07,31,single_group_07,Main,31
single,1,single_group_08,08,41,single_group_08,Main,18
single,1,single_group_08,08,41,single_group_08_v1,v1,23
single,1,single_group_09,09,32,single_group_09,Main,32
single,1,single_group_10,10,59,single_group_10,Main,59
single,1,single_group_11,11,55,single_group_11,Main,55
single,1,single_group_12,12,32,single_group_12,Main,15
single,1,single_group_12,12,32,single_group_12_v1,v1,17
single,1,single_group_13,13,8,single_group_13,Main,8
single,1,single_group_14,14,31,single_group_14,Main,31
double,2,double_group_01,01,342,double_group_01,Main,314
double,2,double_group_01,01,342,double_group_01_v1,v1,28
double,2,double_group_02,02,172,double_group_02,Main,153
double,2,double_group_02,02,172,double_group_02_v1,v1,19
double,2,double_group_03,03,88,double_group_03,Main,69
double,2,double_group_03,03,88,double_group_03_v1,v1,19
double,2,double_group_04,04,69,double_group_04,Main,69
double,2,double_group_05,05,74,double_group_05,Main,74
double,2,double_group_06,06,23,double_group_06,Main,23
triple,3,triple_group_01,01,369,triple_group_01,Main,239
triple,3,triple_group_01,01,369,triple_group_01_v1,v1,130
triple,3,triple_group_02,02,77,triple_group_02,Main,77
triple,3,triple_group_03,03,42,triple_group_03,Main,35
triple,3,triple_group_03,03,42,triple_group_03_v1,v1,7
triple,3,triple_group_04,04,20,triple_group_04,Main,12
triple,3,triple_group_04,04,20,triple_group_04_v1,v1,8
triple,3,triple_group_05,05,78,triple_group_05,Main,66
triple,3,triple_group_05,05,78,triple_group_05_v1,v1,12
triple,3,triple_group_06,06,39,triple_group_06,Main,39
triple,3,triple_group_07,07,10,triple_group_07,Main,3
triple,3,triple_group_07,07,10,triple_group_07_v1,v1,7
