figure,panel,stable_id,structure,family,leaf,role,candidate_id,duration_s,clip_id,source_frame_start,source_frame_stop,sample_rate_hz,reference_wav_sha256,pcm_sha256,stft_db_matrix_sha256
figure5,a,76c1426a02916359d494,single,single_group_01,single_group_01,main,figure5-single_group_01-main-8,0.15364583333333334,guanyinya_2023-07-11-birdnet-08_37_13_01,500485,507860,48000,8a7da54ac0e0e91e6d6d03509ab33bee32b5b2af68529b98ed37436a449326c3,b55b26208b9cd78143d0b166659730b6a0a0279ff20e52dd2c48172d140e2525,d46351a68a941a26aa18f7783f47f1ce5c25ba18633555aaa0985d1fbed8be13
figure5,b,9aa998f0f218dbf6659b,single,single_group_02,single_group_02,main,figure5-single_group_02-main-6,0.27379166666666666,liangzhuang_2023-05-25-birdnet-17_24_00_01_01,183377,196519,48000,fb10bfa657890a4b123ef0d673429a837a93b475a48b113bda0c6bf76163fea5,c6997a3b446efe0fe389c2caef790820462412218220f840bc7ef6aa215ada4c,78f44662ce14bffbb9931b6bb5a53ae6b9553fb305e4a0ba0665be79146dc8e0
figure5,c,519b46ef44bcca7bc74a,single,single_group_03,single_group_03,main,figure5-single_group_03-main-8,0.159625,minqin_2023-07-07-birdnet-16_50_52_01,122348,130010,48000,efec659dc18cd420073faefe646902da9b768649f763e5827e1b27817325c281,760c69e03f75d7cd874974c2a57216ea73fbe17f6723b62746837098c8ef8a50,f1ef8ef6ef50cc633a814841cf1994c2b1eae91f5ccc39cfc53a0fbd2bb286f4
figure5,d,92fb5b203a1ae6c20878,single,single_group_04,single_group_04,main,figure5-single_group_04-main-2,0.09383333333333334,yongxing_2024-04-21-birdnet-11_20_16_01,142162,146666,48000,63507bc28f6d308ce2a52d49f0f63701ff087aacdf27c1ef90319395c3620555,036630046b21c5c19c9a91610afcfeabb6a975601fff2814f6fe067ba92a931e,78bf2f65f05d3d08ddb77551cdce89cfe8a6838205c5aa396cd6ede4aeedfe8a
figure5,e,17546a7f02b55a6202f2,double,double_group_01,double_group_01,main,figure5-double_group_01-main-2,0.27177083333333335,liangzhuang_2023-05-26-birdnet-09_20_03_01,380078,393123,48000,10cb1d03725a41453cb846867d1dbc511e518d4f41987e5231063207a9e2903d,52b33d6db3ede129334f113ef4010f2e0ae1d39edeb35ab0cf3636b8b5562d10,0cc8f92c7d4ab55ef70021b7eb79931f5b7861e53e34f7ebcdd40b14a9ce13a4
figure5,f,1d19d42859a55cc8ecd6,double,double_group_02,double_group_02,main,figure5-double_group_02-main-9,0.34958333333333336,yongxing_2024-04-21-birdnet-12_45_17__bout_004,29100,45880,48000,1817fc525e3ed23705f7edf07f33888173d48e1e0a0f2b032e31e1a9de0e0276,f223323a2bd0e090f6f783343d00f0d05f0dafa421431d7e520d919b2202ee45,9a9081d3352ff5150b1c13cb552dddf41917b0a5f3bc4eabedc52a80748a0350
figure5,g,a04f79ffa552448059f7,double,double_group_03,double_group_03,main,figure5-double_group_03-main-2,0.24935416666666665,yongxing_2024-04-21-birdnet-11_13_46_01,764328,776297,48000,77f7defbc51d548139f1a785c7f1ef0b9ed2e22b5b5d74c7af0a380c9e2c7a54,676fb7d1bd3600e36b5b0f590d03fb6a089e3da7b069ed2f5427a19d09459caf,4554ca1402b450babf39a57a6b9c21a049e78e43f75d9e13853c862d08972a52
figure5,h,b0a0517cee463e6c7415,double,double_group_04,double_group_04,main,figure5-double_group_04-main-10,0.4378125,liangzhuang_2023-05-25-birdnet-17_26_30_01,350445,371460,48000,bbd7bfc5d145d71c9cec9d7d36e681e2fb7f6086109f864ad95c44d3d628d900,b1fc4ab6f1c590881fddbcf3f94b6a7c6ffbde00214d953a9496740c0a63a731,4a1a512abfb9954b216edade887676b55704d00feb12a5cb88c2968900af3238
figure5,i,6807acbe86edcdeaffc5,triple,triple_group_01,triple_group_01,main,figure5-triple_group_01-main-3,0.4146666666666667,liangzhuang_2024-04-20-birdnet-11_15_34_01,419052,438956,48000,3edffd0866a1ed476abc7bf2fe7acea9df3a0cad2383c43320b75547a53c4aec,a28475e4b02266ee18b9c45657f08d98d36121a0d938e887329c8aa1ce5aa95f,b362b1423cb2a3679ac7be792e157362688af45f504e7d23c9e2d6b84d804ff7
figure5,j,e0a254df01466bd0fa11,triple,triple_group_02,triple_group_02,main,figure5-triple_group_02-main-3,0.3400208333333333,liangzhuang_2023-06-18-birdnet-15_51_35_01,138570,154891,48000,cfd0e667e4b1e7d9105744a111d523d88462e52ae03644c42233ceb51583c9d6,d54dd8ee78b37c2716540c2412702d5a7f0ec321ac3be5f48dd3cc43c0d8a3e4,ad899052af5f947103266859026fa53124e79ae9798bde860b957eed10a851ab
